frame,time_s,found,x_in,y_in,heading_deg
780,13.0130,1,21.575,2.499,39.13
781,13.0297,1,21.064,2.904,44.42
782,13.0464,1,20.560,3.254,49.28
783,13.0631,1,20.044,3.554,54.30
784,13.0797,1,19.536,3.804,58.87
785,13.0964,1,19.046,4.020,63.48
786,13.1131,1,18.570,4.198,67.65
787,13.1298,1,18.122,4.339,71.61
788,13.1465,1,17.681,4.441,75.28
789,13.1631,1,17.283,4.511,78.88
790,13.1798,1,16.898,4.560,82.24
791,13.1965,1,16.525,4.579,85.58
792,13.2132,1,16.185,4.592,88.81
793,13.2299,1,15.863,4.580,91.71
794,13.2466,1,15.563,4.561,94.43
795,13.2633,1,15.310,4.524,97.05
796,13.2799,1,15.135,4.508,98.30
797,13.2966,1,15.007,4.521,99.12
798,13.3133,1,14.955,4.553,98.85
799,13.3300,1,14.972,4.619,98.06
800,13.3467,1,15.032,4.693,96.48
801,13.3634,1,15.141,4.775,94.14
802,13.3800,1,15.310,4.876,91.30
803,13.3967,1,15.510,4.970,87.81
804,13.4134,1,15.762,5.067,83.87
805,13.4301,1,16.054,5.133,79.19
806,13.4468,1,16.387,5.168,74.05
807,13.4634,1,16.738,5.167,68.96
808,13.4801,1,17.102,5.128,63.48
809,13.4968,1,17.471,5.038,57.60
810,13.5135,1,17.830,4.911,52.11
811,13.5302,1,18.177,4.745,46.46
812,13.5469,1,18.503,4.543,40.83
813,13.5636,1,18.801,4.323,35.53
814,13.5802,1,19.054,4.084,30.52
815,13.5969,1,19.278,3.848,26.05
816,13.6136,1,19.457,3.639,22.15
817,13.6303,1,19.608,3.438,18.62
818,13.6470,1,19.727,3.258,15.63
819,13.6637,1,19.831,3.073,12.48
820,13.6803,1,19.920,2.890,9.72
821,13.6970,1,20.003,2.712,6.89
822,13.7137,1,20.072,2.537,4.37
823,13.7304,1,20.131,2.370,1.80
824,13.7471,1,20.191,2.223,-0.31
825,13.7637,1,20.240,2.080,-2.19
826,13.7804,1,20.242,1.976,-3.63
827,13.7971,1,20.195,1.913,-5.03
828,13.8138,1,20.048,1.873,-6.27
829,13.8305,1,19.805,1.842,-7.00
830,13.8472,1,19.501,1.832,-7.86
831,13.8639,1,19.121,1.849,-8.85
832,13.8805,1,18.668,1.902,-9.33
833,13.8972,1,18.188,1.961,-9.62
834,13.9139,1,17.630,2.048,-9.85
835,13.9306,1,16.998,2.149,-9.82
836,13.9473,1,16.314,2.255,-10.16
871,14.5312,1,-18.827,9.566,-10.06
872,14.5479,1,-19.441,9.689,-9.88
873,14.5646,1,-19.957,9.794,-9.83
874,14.5812,1,-20.390,9.879,-9.93
875,14.5979,1,-20.712,9.928,-10.13
876,14.6146,1,-20.931,9.962,-10.26
877,14.6313,1,-21.067,9.975,-10.35
878,14.6480,1,-21.101,9.972,-10.44
879,14.6646,1,-21.065,9.963,-10.36
880,14.6813,1,-21.031,9.953,-10.11
881,14.6980,1,-20.996,9.938,-10.31
882,14.7147,1,-20.974,9.940,-10.53
883,14.7314,1,-20.958,9.934,-10.44
884,14.7481,1,-20.949,9.932,-10.37
885,14.7648,1,-20.949,9.932,-10.46
886,14.7814,1,-20.957,9.915,-10.79
887,14.7981,1,-20.978,9.858,-11.80
888,14.8148,1,-20.991,9.757,-13.29
889,14.8315,1,-21.006,9.614,-15.53
890,14.8482,1,-21.035,9.423,-18.39
891,14.8649,1,-21.067,9.191,-21.68
892,14.8815,1,-21.124,8.931,-25.68
893,14.8982,1,-21.204,8.634,-30.15
894,14.9149,1,-21.309,8.319,-34.97
895,14.9316,1,-21.450,7.971,-40.38
896,14.9483,1,-21.641,7.621,-45.70
897,14.9649,1,-21.883,7.283,-52.23
898,14.9816,1,-22.177,6.936,-58.65
899,14.9983,1,-22.531,6.633,-65.25
900,15.0150,1,-22.927,6.364,-72.50
901,15.0317,1,-23.359,6.143,-79.27
902,15.0484,1,-23.822,5.980,-86.09
903,15.0650,1,-24.282,5.879,-92.80
904,15.0817,1,-24.733,5.825,-99.36
905,15.0984,1,-25.167,5.818,-105.17
906,15.1151,1,-25.548,5.846,-110.59
907,15.1318,1,-25.912,5.912,-116.07
908,15.1485,1,-26.237,6.008,-120.89
909,15.1652,1,-26.549,6.135,-126.13
910,15.1818,1,-26.830,6.275,-130.80
911,15.1985,1,-27.098,6.435,-135.54
912,15.2152,1,-27.339,6.603,-140.01
913,15.2319,1,-27.555,6.787,-144.20
914,15.2486,1,-27.752,6.976,-148.40
915,15.2652,1,-27.931,7.177,-152.24
916,15.2819,1,-28.086,7.361,-155.90
917,15.2986,1,-28.226,7.553,-159.40
918,15.3153,1,-28.346,7.735,-162.41
919,15.3320,1,-28.463,7.911,-165.65
920,15.3487,1,-28.555,8.077,-168.58
921,15.3653,1,-28.650,8.242,-171.25
922,15.3820,1,-28.724,8.410,-173.81
923,15.3987,1,-28.795,8.561,-176.11
924,15.4154,1,-28.847,8.702,-178.35
925,15.4321,1,-28.906,8.833,179.52
926,15.4488,1,-28.954,8.959,177.88
927,15.4655,1,-28.994,9.070,175.90
928,15.4821,1,-29.025,9.163,174.33
929,15.4988,1,-29.070,9.254,173.58
930,15.5155,1,-29.099,9.337,172.12
931,15.5322,1,-29.131,9.400,171.49
932,15.5489,1,-29.161,9.460,170.82
933,15.5655,1,-29.185,9.503,170.02
934,15.5822,1,-29.146,9.517,169.54
935,15.5989,1,-29.032,9.508,169.31
936,15.6156,1,-28.843,9.489,169.13
937,15.6323,1,-28.583,9.454,169.03
938,15.6490,1,-28.247,9.398,168.60
939,15.6656,1,-27.845,9.322,168.56
940,15.6823,1,-27.365,9.231,168.30
941,15.6990,1,-26.816,9.131,168.43
978,16.3163,1,9.445,1.389,168.00
979,16.3330,1,9.959,1.273,168.02
980,16.3497,1,10.387,1.184,167.81
981,16.3664,1,10.713,1.123,167.69
982,16.3830,1,10.915,1.103,167.47
983,16.3997,1,11.051,1.077,167.24
984,16.4164,1,11.088,1.085,167.30
985,16.4331,1,11.044,1.098,167.33
986,16.4498,1,10.999,1.114,167.34
987,16.4665,1,10.962,1.121,167.39
988,16.4831,1,10.933,1.130,167.26
989,16.4998,1,10.911,1.133,167.20
990,16.5165,1,10.901,1.134,167.20
991,16.5332,1,10.899,1.135,167.19
992,16.5499,1,10.901,1.135,167.20
993,16.5665,1,10.908,1.133,167.27
994,16.5832,1,10.917,1.130,167.27
995,16.5999,1,10.926,1.128,167.30
996,16.6166,1,10.936,1.125,167.31
997,16.6333,1,10.941,1.125,167.24
998,16.6500,1,10.946,1.125,167.24
999,16.6667,1,10.954,1.124,167.25
1000,16.6833,1,10.955,1.123,167.23
1001,16.7000,1,10.953,1.123,167.22
1002,16.7167,1,10.951,1.124,167.22
1003,16.7334,1,10.945,1.111,167.27
1004,16.7501,1,10.946,1.057,168.01
1005,16.7668,1,10.948,0.949,169.34
1006,16.7834,1,10.968,0.817,170.96
1007,16.8001,1,10.990,0.628,173.23
1008,16.8168,1,11.025,0.403,176.55
1009,16.8335,1,11.091,0.146,179.74
1010,16.8502,1,11.181,-0.154,-176.01
1011,16.8668,1,11.298,-0.491,-171.10
1012,16.8835,1,11.469,-0.858,-165.82
1013,16.9002,1,11.694,-1.242,-160.12
1014,16.9169,1,11.976,-1.627,-154.04
1015,16.9336,1,12.325,-2.008,-147.38
1016,16.9503,1,12.738,-2.359,-140.15
1017,16.9670,1,13.228,-2.675,-132.74
1018,16.9836,1,13.758,-2.933,-124.24
