frame,time_s,found,x_in,y_in,heading_deg
637,10.6273,1,-15.780,6.166,110.36
638,10.6440,1,-15.639,5.783,110.33
639,10.6607,1,-15.501,5.400,110.24
640,10.6773,1,-15.351,5.009,110.36
641,10.6940,1,-15.211,4.623,110.73
642,10.7107,1,-15.063,4.231,110.68
643,10.7274,1,-14.917,3.843,110.68
644,10.7441,1,-14.768,3.453,110.77
645,10.7607,1,-14.619,3.061,110.91
646,10.7774,1,-14.467,2.677,110.82
647,10.7941,1,-14.313,2.288,111.21
648,10.8108,1,-14.160,1.909,111.14
649,10.8275,1,-14.011,1.521,111.07
650,10.8442,1,-13.860,1.129,111.15
651,10.8609,1,-13.715,0.738,111.35
652,10.8775,1,-13.571,0.338,111.54
653,10.8942,1,-13.434,-0.058,111.85
654,10.9109,1,-13.297,-0.468,112.31
655,10.9276,1,-13.167,-0.884,112.59
656,10.9443,1,-13.046,-1.303,113.44
657,10.9610,1,-12.934,-1.726,114.18
658,10.9776,1,-12.836,-2.141,115.07
659,10.9943,1,-12.742,-2.560,116.09
660,11.0110,1,-12.640,-2.988,117.18
661,11.0277,1,-12.541,-3.414,118.60
662,11.0444,1,-12.438,-3.837,119.72
663,11.0610,1,-12.337,-4.266,121.08
664,11.0777,1,-12.227,-4.695,122.28
665,11.0944,1,-12.119,-5.126,123.81
666,11.1111,1,-12.005,-5.555,125.24
667,11.1278,1,-11.885,-5.987,126.54
668,11.1445,1,-11.755,-6.419,128.04
669,11.1612,1,-11.629,-6.852,129.35
670,11.1778,1,-11.490,-7.277,130.83
671,11.1945,1,-11.351,-7.715,132.48
672,11.2112,1,-11.203,-8.139,133.92
673,11.2279,1,-11.053,-8.571,135.52
674,11.2446,1,-10.902,-8.994,137.11
675,11.2613,1,-10.738,-9.426,138.70
676,11.2779,1,-10.566,-9.858,140.25
677,11.2946,1,-10.388,-10.286,141.89
678,11.3113,1,-10.192,-10.707,143.43
679,11.3280,1,-9.995,-11.125,145.02
680,11.3447,1,-9.782,-11.546,146.44
681,11.3613,1,-9.565,-11.959,148.19
682,11.3780,1,-9.338,-12.367,149.88
683,11.3947,1,-9.098,-12.767,151.37
684,11.4114,1,-8.843,-13.169,153.00
685,11.4281,1,-8.579,-13.566,154.54
686,11.4448,1,-8.308,-13.960,156.07
687,11.4615,1,-8.024,-14.348,157.88
688,11.4781,1,-7.734,-14.734,159.56
689,11.4948,1,-7.434,-15.105,161.06
690,11.5115,1,-7.129,-15.476,162.63
691,11.5282,1,-6.822,-15.830,164.25
692,11.5449,1,-6.503,-16.179,165.88
693,11.5616,1,-6.176,-16.522,167.33
694,11.5782,1,-5.838,-16.851,169.20
695,11.5949,1,-5.491,-17.176,170.99
696,11.6116,1,-5.131,-17.485,172.15
697,11.6283,1,-4.760,-17.800,173.74
698,11.6450,1,-4.398,-18.094,175.81
699,11.6616,1,-4.048,-18.380,177.36
700,11.6783,1,-3.718,-18.664,179.28
701,11.6950,1,-3.427,-18.927,-179.00
702,11.7117,1,-3.165,-19.174,-177.61
703,11.7284,1,-2.926,-19.393,-176.47
704,11.7451,1,-2.748,-19.586,-175.42
705,11.7618,1,-2.652,-19.755,-174.67
706,11.7784,1,-2.636,-19.903,-174.07
707,11.7951,1,-2.702,-20.024,-173.37
708,11.8118,1,-2.823,-20.134,-172.78
709,11.8285,1,-2.985,-20.221,-172.49
710,11.8452,1,-3.177,-20.293,-172.27
711,11.8619,1,-3.404,-20.350,-172.24
712,11.8785,1,-3.653,-20.408,-172.00
713,11.8952,1,-3.920,-20.459,-171.91
714,11.9119,1,-4.203,-20.503,-172.10
715,11.9286,1,-4.499,-20.545,-171.99
716,11.9453,1,-4.797,-20.587,-172.00
717,11.9619,1,-5.105,-20.632,-172.14
718,11.9786,1,-5.418,-20.671,-172.37
719,11.9953,1,-5.735,-20.719,-172.30
720,12.0120,1,-6.055,-20.763,-172.40
721,12.0287,1,-6.391,-20.812,-172.36
722,12.0454,1,-6.724,-20.862,-172.62
723,12.0621,1,-7.055,-20.900,-172.55
724,12.0787,1,-7.400,-20.949,-172.73
725,12.0954,1,-7.747,-20.998,-172.93
726,12.1121,1,-8.091,-21.039,-173.03
727,12.1288,1,-8.437,-21.081,-173.21
728,12.1455,1,-8.785,-21.125,-173.28
729,12.1622,1,-9.130,-21.165,-173.31
730,12.1788,1,-9.483,-21.204,-173.58
731,12.1955,1,-9.826,-21.243,-173.69
732,12.2122,1,-10.171,-21.276,-173.77
733,12.2289,1,-10.524,-21.315,-173.87
734,12.2456,1,-10.878,-21.350,-174.02
735,12.2622,1,-11.227,-21.386,-174.00
736,12.2789,1,-11.577,-21.427,-174.19
737,12.2956,1,-11.916,-21.460,-174.35
738,12.3123,1,-12.264,-21.493,-174.51
739,12.3290,1,-12.610,-21.534,-174.36
740,12.3457,1,-12.958,-21.567,-174.59
741,12.3624,1,-13.298,-21.608,-174.75
742,12.3790,1,-13.643,-21.644,-174.92
743,12.3957,1,-13.985,-21.679,-175.14
744,12.4124,1,-14.333,-21.712,-175.15
745,12.4291,1,-14.679,-21.745,-175.26
746,12.4458,1,-15.026,-21.770,-175.53
747,12.4625,1,-15.375,-21.799,-175.38
748,12.4791,1,-15.715,-21.829,-175.68
749,12.4958,1,-16.068,-21.870,-175.52
750,12.5125,1,-16.426,-21.923,-175.39
751,12.5292,1,-16.791,-21.996,-174.94
799,13.3300,1,-19.637,-21.561,-110.36
800,13.3467,1,-19.539,-21.217,-110.52
801,13.3634,1,-19.446,-20.882,-110.90
802,13.3800,1,-19.359,-20.539,-111.40
803,13.3967,1,-19.262,-20.192,-111.76
804,13.4134,1,-19.170,-19.845,-112.33
805,13.4301,1,-19.079,-19.502,-112.86
806,13.4468,1,-18.980,-19.156,-113.36
807,13.4634,1,-18.893,-18.806,-113.86
808,13.4801,1,-18.794,-18.463,-114.52
809,13.4968,1,-18.691,-18.120,-115.18
810,13.5135,1,-18.595,-17.773,-115.79
811,13.5302,1,-18.496,-17.426,-116.42
812,13.5469,1,-18.401,-17.082,-117.07
813,13.5636,1,-18.295,-16.734,-117.89
814,13.5802,1,-18.187,-16.388,-118.55
815,13.5969,1,-18.080,-16.046,-119.28
816,13.6136,1,-17.969,-15.705,-120.23
817,13.6303,1,-17.849,-15.370,-120.86
818,13.6470,1,-17.735,-15.035,-121.74
819,13.6637,1,-17.604,-14.710,-122.39
820,13.6803,1,-17.472,-14.378,-123.12
821,13.6970,1,-17.335,-14.050,-123.83
822,13.7137,1,-17.191,-13.736,-124.36
823,13.7304,1,-17.032,-13.425,-124.79
824,13.7471,1,-16.863,-13.113,-125.08
825,13.7637,1,-16.678,-12.804,-125.28
826,13.7804,1,-16.481,-12.494,-125.38
827,13.7971,1,-16.284,-12.195,-125.48
828,13.8138,1,-16.078,-11.898,-125.53
829,13.8305,1,-15.873,-11.600,-125.54
830,13.8472,1,-15.661,-11.305,-125.51
831,13.8639,1,-15.445,-11.005,-125.60
832,13.8805,1,-15.231,-10.708,-125.42
833,13.8972,1,-15.017,-10.411,-125.46
834,13.9139,1,-14.804,-10.108,-125.33
835,13.9306,1,-14.587,-9.812,-125.34
836,13.9473,1,-14.365,-9.511,-125.18
837,13.9640,1,-14.147,-9.210,-125.30
838,13.9806,1,-13.927,-8.913,-125.06
839,13.9973,1,-13.709,-8.616,-125.02
840,14.0140,1,-13.492,-8.312,-124.99
841,14.0307,1,-13.268,-8.009,-124.91
842,14.0474,1,-13.053,-7.706,-124.83
843,14.0640,1,-12.838,-7.397,-124.76
844,14.0807,1,-12.618,-7.099,-124.51
845,14.0974,1,-12.403,-6.789,-124.52
846,14.1141,1,-12.190,-6.479,-124.42
847,14.1308,1,-11.970,-6.176,-124.43
848,14.1475,1,-11.748,-5.868,-124.41
849,14.1642,1,-11.538,-5.559,-124.34
850,14.1808,1,-11.333,-5.248,-124.35
851,14.1975,1,-11.121,-4.929,-124.43
852,14.2142,1,-10.913,-4.612,-124.55
853,14.2309,1,-10.709,-4.284,-124.64
854,14.2476,1,-10.505,-3.957,-124.90
855,14.2643,1,-10.304,-3.623,-125.23
856,14.2809,1,-10.113,-3.288,-125.60
857,14.2976,1,-9.922,-2.952,-125.97
858,14.3143,1,-9.745,-2.618,-126.79
859,14.3310,1,-9.574,-2.286,-127.53
860,14.3477,1,-9.411,-1.959,-128.30
861,14.3643,1,-9.247,-1.626,-129.15
862,14.3810,1,-9.081,-1.298,-130.04
863,14.3977,1,-8.916,-0.965,-131.02
864,14.4144,1,-8.755,-0.641,-132.08
865,14.4311,1,-8.585,-0.313,-132.84
866,14.4478,1,-8.423,0.013,-133.91
867,14.4645,1,-8.254,0.334,-134.98
868,14.4811,1,-8.083,0.653,-136.13
869,14.4978,1,-7.906,0.977,-137.16
870,14.5145,1,-7.728,1.294,-138.12
871,14.5312,1,-7.542,1.610,-139.26
